fid,id,left,top,right,bottom,장애거주비율,거리점수(지하철),버스 정류장 ,전동보조기기 충전소,편의/복지시설,총합점수
127,180,14114803.66,4514840.415,14115303.66,4514340.415,0.134,0,0.087,0,0,0.221
128,177,14114803.66,4516340.415,14115303.66,4515840.415,0.134,0,0,0,0,0.134
129,176,14114803.66,4516840.415,14115303.66,4516340.415,0.134,0,0,0,0,0.134
130,179,14114803.66,4515340.415,14115303.66,4514840.415,0.134,0,0,0,0,0.134
131,178,14114803.66,4515840.415,14115303.66,4515340.415,0.134,0,0,0,0,0.134
132,189,14115303.66,4521840.415,14115803.66,4521340.415,0.317,0,0.043,0,0,0.36
133,188,14115303.66,4522340.415,14115803.66,4521840.415,0.317,0,0,0,0,0.317
134,191,14115303.66,4520840.415,14115803.66,4520340.415,0.317,1,0,0,0,1.317
135,190,14115303.66,4521340.415,14115803.66,4520840.415,0.317,0,0,0,0,0.317
136,185,14115303.66,4523840.415,14115803.66,4523340.415,0.317,0,0,0,0,0.317
137,187,14115303.66,4522840.415,14115803.66,4522340.415,0.317,0,0,0,0,0.317
138,186,14115303.66,4523340.415,14115803.66,4522840.415,0.317,0,0,0,0,0.317
139,327,14118303.66,4521840.415,14118803.66,4521340.415,0.476,0,0,0,0,0.476
140,333,14118303.66,4518840.415,14118803.66,4518340.415,0.134,1,0.043,0.333333333,0,1.51
141,332,14118303.66,4519340.415,14118803.66,4518840.415,0,0.5,0.217,0,0,0.717
142,335,14118303.66,4517840.415,14118803.66,4517340.415,0.146,1,0.261,0,0,1.407
143,334,14118303.66,4518340.415,14118803.66,4517840.415,0.134,1,0.174,0,0,1.308
144,329,14118303.66,4520840.415,14118803.66,4520340.415,0.476,0,0,0,0,0.476
145,328,14118303.66,4521340.415,14118803.66,4520840.415,0.476,0,0,0,0,0.476
146,331,14118303.66,4519840.415,14118803.66,4519340.415,0,0,0,0,0,0
147,330,14118303.66,4520340.415,14118803.66,4519840.415,0,0,0,0,0,0
148,340,14118303.66,4515340.415,14118803.66,4514840.415,0.098,0,0.043,0,0,0.141
149,337,14118303.66,4516840.415,14118803.66,4516340.415,0.146,0,0.174,0,0,0.32
150,336,14118303.66,4517340.415,14118803.66,4516840.415,0.146,1,0,0,0,1.146
151,339,14118303.66,4515840.415,14118803.66,4515340.415,0.146,0.5,0,0,0,0.646
152,338,14118303.66,4516340.415,14118803.66,4515840.415,0.146,0.5,0.087,0,0.2,0.933
153,351,14118803.66,4521340.415,14119303.66,4520840.415,0.476,0,0,0,0,0.476
154,357,14118803.66,4518340.415,14119303.66,4517840.415,0,0.5,0.087,0,0,0.587
155,356,14118803.66,4518840.415,14119303.66,4518340.415,0,0.5,0.087,0,0,0.587
156,359,14118803.66,4517340.415,14119303.66,4516840.415,0.146,1,0.087,0.333333333,0,1.566
157,358,14118803.66,4517840.415,14119303.66,4517340.415,0,1,0.13,0.333333333,0,1.463
158,353,14118803.66,4520340.415,14119303.66,4519840.415,0,0,0,0,0,0
159,352,14118803.66,4520840.415,14119303.66,4520340.415,0,0,0,0,0,0
160,355,14118803.66,4519340.415,14119303.66,4518840.415,0,0,0.043,0,0,0.043
161,354,14118803.66,4519840.415,14119303.66,4519340.415,0,0,0,0,0,0
162,365,14118803.66,4514340.415,14119303.66,4513840.415,0.134,0,0,0,0,0.134
163,364,14118803.66,4514840.415,14119303.66,4514340.415,0.134,0.5,0.087,0,0,0.721
164,366,14118803.66,4513840.415,14119303.66,4513340.415,0.134,0,0,0,0,0.134
165,361,14118803.66,4516340.415,14119303.66,4515840.415,0.146,1,0.13,0,0,1.276
166,360,14118803.66,4516840.415,14119303.66,4516340.415,0.146,0.5,0,0.333333333,0,0.979
167,363,14118803.66,4515340.415,14119303.66,4514840.415,0.098,0.5,0,0,0.2,0.798
168,362,14118803.66,4515840.415,14119303.66,4515340.415,0.146,1,0.174,0,0.2,1.52
169,375,14119303.66,4520840.415,14119803.66,4520340.415,0,0,0,0,0,0
170,381,14119303.66,4517840.415,14119803.66,4517340.415,0.695,1,0.348,0,0.2,2.243
171,380,14119303.66,4518340.415,14119803.66,4517840.415,0.695,1,0.043,0,0,1.738
172,383,14119303.66,4516840.415,14119803.66,4516340.415,0.146,0.5,0.261,0,0,0.907
173,382,14119303.66,4517340.415,14119803.66,4516840.415,0.695,1,0.348,0,0,2.043
174,377,14119303.66,4519840.415,14119803.66,4519340.415,0,0,0.174,0,0.6,0.774
175,376,14119303.66,4520340.415,14119803.66,4519840.415,0,0,0,0,0,0
176,379,14119303.66,4518840.415,14119803.66,4518340.415,0,1,0.087,0,0,1.087
177,378,14119303.66,4519340.415,14119803.66,4518840.415,0,1,0.261,0.333333333,0,1.594
178,261,14116803.66,4520340.415,14117303.66,4519840.415,0.476,1,0.13,0,0,1.606
179,260,14116803.66,4520840.415,14117303.66,4520340.415,0.476,0.5,0,0,0,0.976
