상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
CU,마곡한솔점,서울특별시 강서구 양천로30길 77,씨유 마곡한솔점,3.30,37.56964145,126.82334384740582
GS25,마곡에이스점,서울특별시 강서구 마곡동로 61,GS25마곡에이스점,3.30,37.5561708,126.8328521
CU,마곡더랜드점,서울특별시 강서구 마곡중앙로 161-8,씨유 마곡더랜드점,3.30,37.5631274,126.8273842
CU,발산오피스점,서울특별시 강서구 마곡중앙8로 86,씨유 마곡필굿점,3.30,37.5608999,126.8368212
CU,마곡엠코점,서울특별시 강서구 강서로 471,씨유 마곡엠코점,4.00,37.5596089,126.838587
GS25,강서메르디앙점,서울특별시 강서구 공항대로38길 106,GS25 강서메르디앙점,6.60,37.5578472,126.8388087
GS25,염창빌리지점,서울특별시 강서구 양천로69길 19,지에스25 염창빌리지점,6.60,37.5548311,126.8720968
CU,화곡미래점,서울특별시 강서구 초록마을로 122,씨유 화곡미래점,3.30,37.536725,126.8483271
CU,방화오피스점,서울특별시 강서구 개화동로27가길 33,씨유방화오피스점,10.00,37.5633028,126.8071596
GS25,화곡드림점,서울특별시 강서구 우장산로16길 19,지에스25 화곡드림점,3.30,37.552314,126.8494033
CU,염창1호점,서울특별시 강서구 양천로 713,씨유 염창1호점,3.30,37.5488695,126.8781594
CU,화곡초록마을점,서울특별시 강서구 강서로18다길 41,씨유 화곡초록마을점,10.00,37.5352027,126.8481847
GS25,등촌한마음점,서울특별시 강서구 공항대로58길 32,지에스25등촌한마음점,3.30,37.5505567,126.8625523
GS25,방화가온점,서울특별시 강서구 양천로11길 14,GS25방화가온점,3.30,37.5747807,126.8096149
GS25,강서으뜸점,서울특별시 강서구 강서로7길 45,GS25 강서으뜸점,3.30,37.5293488,126.8448368
세븐일레븐,등촌두보점,서울특별시 강서구 공항대로58나길 40-44,세븐일레븐 등촌두보점,6.60,37.5508208,126.8591093
GS25,염창신동아점,서울특별시 강서구 양천로67길 32,GS25 염창신동아점,5.00,37.5561205,126.8691168
GS25,편의점,서울특별시 강서구 양천로67길 32,GS25 염창신동아점,5.00,37.5561205,126.8691168
CU,방화1호점,서울특별시 강서구 방화대로52길 40,씨유 방화1호점,4.00,37.5777382,126.8182149
GS25,강서한빛점,서울특별시 강서구 양천로30길 32,GS25강서한빛,3.30,37.5685205,126.8232718
GS25,수명산4단지점,서울특별시 강서구 수명로1길 16,지에스25 수명산4단지점,5.00,37.55121645,126.82334457495229
미니스톱,화곡엠파이어시티점,서울특별시 강서구 강서로 187,씨유 강서엠파이어시티점,3.30,37.5596089,126.838587
미니스톱,우리동네점,서울특별시 강서구 강서로7길 89,미니스톱 우리동네점,6.70,37.5293488,126.8448368
CU,화곡신월초교점,서울특별시 강서구 강서로31길 52,씨유 화곡신월초교점,6.60,37.5406232,126.8411013
