상호명,지점명,도로명주소,단차/계단,확인불가
GS25,마곡LG정문점,서울특별시 강서구 마곡중앙6로 65,0,2
CU,마곡미라벨점,서울특별시 강서구 마곡서로 101,0,0
CU,뉴화곡우리마을,서울특별시 강서구 강서로7길 107,0,0
GS25,등촌캐빈점,서울특별시 강서구 공항대로51길 17,1,0
CU,마곡11단지점,서울특별시 강서구 공항대로 124,0,1
GS25,S9가양역점,서울특별시 강서구 양천로 485,0,0
세븐일레븐,화곡대원점,서울특별시 강서구 화곡로21길 43,0,0
GS25,등촌으뜸점,서울특별시 강서구 화곡로66길 149,0,1
미니스톱,강서드림점,서울특별시 강서구 화곡로 330,0,1
GS25,화곡성당점,서울특별시 강서구 강서로 132,1,0
세븐일레븐,강서공항점,서울특별시 강서구 송정로4길 1-1,1,0
CU,등촌아름점,서울특별시 강서구 공항대로53길 23,0,0
CU,마곡미라클점,서울특별시 강서구 방화대로34길 60,0,0
CU,마곡엠팰리체,서울특별시 강서구 마곡동로4길 15,0,0
CU,등촌심미점,서울특별시 강서구 공항대로59다길 1,1,0
세븐일레븐,롯데스카이파크점,서울특별시 강서구 하늘길 38,0,1
GS25,화곡비젼점,서울특별시 강서구 강서로18바길 2,1,0
GS25,마곡점,서울특별시 강서구 마곡중앙1로 72,0,1
세븐일레븐,마곡행복점,서울특별시 강서구 마곡중앙2로 35,0,1
세븐일레븐,마곡열린점,서울특별시 강서구 공항대로 242,0,0
세븐일레븐,화곡사랑,서울특별시 강서구 초록마을로34길 85,0,0
GS25,화곡그린힐점,서울특별시 강서구 초록마을로 89,1,0
CU,화곡곰달래점,서울특별시 강서구 곰달래로49길 15,1,0
CU,공항대로점,서울특별시 강서구 공항대로 549,0,1
GS25,화곡베스트점,서울특별시 강서구 월정로 112,0,0
CU,메이필드호텔점,서울특별시 강서구 방화대로 94,0,1
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,1,0
CU,방화메아리점,서울특별시 강서구 금낭화로24길 29-4,1,0
세븐일레븐,화곡현대점,서울특별시 강서구 초록마을로30길 7,0,0
세븐일레븐,마곡신사고점,서울특별시 강서구 강서로 463,0,1
세븐일레븐,화곡본동점,서울특별시 강서구 초록마을로14길 37,1,0
미니스톱,강서IT점,서울특별시 강서구 공항대로44길 11,0,1
세븐일레븐,마곡홈앤쇼핑점,서울특별시 강서구 공항대로 140,0,0
GS25,마곡12단지점,서울특별시 강서구 공항대로 140,1,0
세븐일레븐,강서중앙점,서울특별시 강서구 공항대로46길 35,0,0
CU,강서스타점,서울특별시 강서구 강서로54길 90,1,0
CU,화곡삼성점,서울특별시 강서구 국회대로7길 101,1,0
CU,화곡트윈캐슬점,서울특별시 강서구 초록마을로 71,1,0
CU,마곡한솔점,서울특별시 강서구 양천로30길 77,1,0
CU,가양휴먼빌점,서울특별시 강서구 양천로57길 13,0,0
GS25,마곡에이스점,서울특별시 강서구 마곡동로 61,0,0
CU,마곡더랜드점,서울특별시 강서구 마곡중앙로 161-8,0,0
CU,발산오피스점,서울특별시 강서구 마곡중앙8로 86,0,1
CU,마곡엠코점,서울특별시 강서구 강서로 471,0,0
GS25,강서메르디앙점,서울특별시 강서구 공항대로38길 106,0,0
미니스톱,강서하늘점,서울특별시 강서구 공항대로59다길 85,0,1
GS25,마곡플레이스점,서울특별시 강서구 강서로 395,0,1
GS25,염창빌리지점,서울특별시 강서구 양천로69길 19,0,0
CU,화곡드림점,서울특별시 강서구 초록마을로22길 82,1,0
CU,강서다온점,서울특별시 강서구 화곡로13길 111,0,0
CU,화곡미래점,서울특별시 강서구 초록마을로 122,1,0
CU,방화오피스점,서울특별시 강서구 개화동로27가길 33,0,0
CU,마곡바이셀프점,서울특별시 강서구 양천로47길 94,0,1
GS25,마곡힐스테이트점,서울특별시 강서구 공항대로 269-15,0,0
세븐일레븐,강서KC대학교점,서울특별시 강서구 까치산로24길 47,0,1
GS25,마곡유림점,서울특별시 강서구 강서로 419,1,0
GS25,화곡세화점,서울특별시 강서구 곰달래로25길 8,1,0
세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 하늘길 38,0,1
세븐일레븐,강서화곡다솜점,서울특별시 강서구 강서로7길 102,0,1
CU,개화점,서울특별시 강서구 금낭화로 167,1,0
GS25,화곡드림점,서울특별시 강서구 우장산로16길 19,1,0
GS25,가양2호점,서울특별시 강서구 허준로 47,0,0
GS25,강서타운점,서울특별시 강서구 화곡로 346,0,0
CU,염창1호점,서울특별시 강서구 양천로 713,1,0
CU,화곡초록마을점,서울특별시 강서구 강서로18다길 41,0,0
세븐일레븐,가양한림점,서울특별시 강서구 강서로 511,0,1
CU,가양미르웰점,서울특별시 강서구 강서로68길 35,0,1
GS25,등촌한마음점,서울특별시 강서구 공항대로58길 32,1,0
GS25,방화가온점,서울특별시 강서구 양천로11길 14,0,0
GS25,S9증미역점,서울특별시 강서구 양천로 560,0,0
GS25,강서으뜸점,서울특별시 강서구 강서로7길 45,0,0
GS25,화곡월정점,서울특별시 강서구 가로공원로76길 100,1,0
세븐일레븐,등촌두보점,서울특별시 강서구 공항대로58나길 40-44,0,0
GS25,염창신동아점,서울특별시 강서구 양천로67길 32,0,0
CU,방화1호점,서울특별시 강서구 방화대로52길 40,1,0
GS25,강서한빛점,서울특별시 강서구 양천로30길 32,1,0
GS25,마곡퍼스트점,서울특별시 강서구 마곡중앙로 76,0,1
GS25,LG사이언스파크점,서울특별시 강서구 마곡중앙10로 10,0,1
GS25,수명산4단지점,서울특별시 강서구 수명로1길 16,0,0
미니스톱,화곡엠파이어시티점,서울특별시 강서구 강서로 187,0,0
미니스톱,우리동네점,서울특별시 강서구 강서로7길 89,1,0
미니스톱,화곡명월점,서울특별시 강서구 곰달래로 104,1,0
CU,화곡신월초교점,서울특별시 강서구 강서로31길 52,1,0
GS25,강서화곡로점,서울특별시 강서구 화곡로18길 31,1,0
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,1,0
GS25,염창현대점,서울특별시 강서구 양천로75길 50,0,0
GS25,가양글로벌점,서울특별시 강서구 화곡로72길 62,0,0
미니스톱,강서공항점,서울특별시 강서구 공항대로8길 55,0,1
CU,항공지원센터2호점,서울특별시 강서구 하늘길 70,0,1
GS25,편의점,서울특별시 강서구 양천로67길 32,0,0
세븐일레븐,강서하이웨이주유소점,서울특별시 강서구 공항대로 432,0,0
GS25,강서까치산점,서울특별시 강서구 강서로16길 22,1,0
세븐일레븐,발산W타워점,서울특별시 강서구 공항대로 222,0,0
CU,화곡미라클점,서울특별시 강서구 초록마을로5길 25,0,0
CU,방화역점,서울특별시 강서구 금낭화로 287-50,1,0
세븐일레븐,강서화곡신정점,서울특별시 강서구 등촌로13다길 32-18,1,0
CU,강서붐호텔점,서울특별시 강서구 남부순환로 188,1,0
미니스톱,비즈메트로점,서울특별시 강서구 양천로 551-17,0,0
이마트24,마곡골든점,서울특별시 강서구 마곡중앙6로 89,0,0
CU,강서도레미점,서울특별시 강서구 양천로26길 38,1,0
미니스톱,등촌우리점,서울특별시 강서구 등촌로39마길 24,1,0
CU,화곡행복점,서울특별시 강서구 강서로17길 89,1,0
CU,등촌주공점,서울특별시 강서구 공항대로43길 39,1,0
GS25,가양데시앙점,서울특별시 강서구 양천로 418,0,0
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,1,0
GS25,뉴내발산점,서울특별시 강서구 강서로45나길 59,1,0
세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡로42길 35,1,0
GS25,방화샤르망점,서울특별시 강서구 방화대로47가길 7,0,0
CU,화곡영광점,서울특별시 강서구 곰달래로53길 121,0,0
CU,김포공항3호점,서울특별시 강서구 하늘길 111,0,1
세븐일레븐,강서화곡한솔점,서울특별시 강서구 까치산로17길 10,1,0
GS25,화곡열매점,서울특별시 강서구 곰달래로49길 56,1,0
CU,목동먹자촌점,서울특별시 강서구 곰달래로60가길 4,1,0
GS25,마곡동익점,서울특별시 강서구 공항대로 195,0,1
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,1,0
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,1,0
CU,송정역점,서울특별시 강서구 공항대로 43,0,0
GS25,화곡도래점,서울특별시 강서구 까치산로20길 11,0,0
CU,88체육관점,서울특별시 강서구 공항대로 376,0,1
CU,신월가로공원점,서울특별시 강서구 화곡로51길 13,1,0
CU,편의점,서울특별시 강서구 공항대로 509,1,0
GS25,마곡SB점,서울특별시 강서구 마곡중앙5로 81,0,0
GS25,공항다솔점,서울특별시 강서구 방화대로6마길 22,0,1
GS25,화곡공원점,서울특별시 강서구 화곡로42가길 9,1,0
GS25,등촌현대점,서울특별시 강서구 등촌로 163,0,1
GS25,강서센트레점,서울특별시 강서구 공항대로2길 25,1,0
CU,서울식물원점,서울특별시 강서구 마곡중앙로 136,0,1
세븐일레븐,S방화역점,서울특별시 강서구 금낭화로 132,0,1
세븐일레븐,화곡까치산로점,서울특별시 강서구 까치산로 29,0,0
CU,마곡투웨니점,서울특별시 강서구 강서로 443,0,0
GS25,화곡가로공원점,서울특별시 강서구 가로공원로 217,1,0
CU,강서오토플렉스점,서울특별시 강서구 양천로 390,0,0
CU,마곡퀸즈점,서울특별시 강서구 공항대로 212,0,0
세븐일레븐,개화중앙점,서울특별시 강서구 개화동로9길 7,1,0
CU,마곡로뎀점,서울특별시 강서구 공항대로 186,0,0
미니스톱,화곡재성점,서울특별시 강서구 월정로20길 25,1,0
CU,강서가로공원점,서울특별시 강서구 가로공원로 216,1,0
CU,염창오피스점,서울특별시 강서구 공항대로 653-9,1,0
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡로13길 107,0,1
세븐일레븐,마곡대방디엠,서울특별시 강서구 마곡동로10길 23,0,1
GS25,방화제일점,서울특별시 강서구 방화동로12길 14,0,1
세븐일레븐,마곡로뎀점,서울특별시 강서구 공항대로 186,0,0
세븐일레븐,가양9단지점,서울특별시 강서구 허준로 234,0,1
CU,화곡일등점,서울특별시 강서구 화곡로27가길 2,1,0
CU,이웰메디파크점,서울특별시 강서구 마곡중앙4로 74,0,0
세븐일레븐,화곡메인점,서울특별시 강서구 곰달래로49길 112,1,0
CU,강서부민병원점,서울특별시 강서구 공항대로 389,0,0
세븐일레븐,화곡까치점,서울특별시 강서구 까치산로2길 3,0,0
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,1,0
CU,마곡두산점,서울특별시 강서구 마곡서로 152,0,1
GS25,우장산스카이점,서울특별시 강서구 강서로 294,0,1
GS25,공항소담점,서울특별시 강서구 방화대로6라길 26,0,0
GS25,김포공항역점,서울특별시 강서구 하늘길 38,0,1
GS25,강서메트로칸점,서울특별시 강서구 공항대로45가길 11,0,1
GS25,강서우장점,서울특별시 강서구 강서로45다길 35,1,0
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,1,0
CU,가양모터리움점,서울특별시 강서구 양천로53길 30,0,1
CU,메트로점,서울특별시 강서구 화곡로26가길 2,1,0
세븐일레븐,2872S개화산역점,서울특별시 강서구 양천로 22,0,1
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,1,0
GS25,국립항공박물관점,서울특별시 강서구 하늘길 112,0,1
GS25,등촌타운점,서울특별시 강서구 공항대로 543,0,1
CU,화곡시원점,서울특별시 강서구 가로공원로76길 38,1,0
CU,마곡9단지점,서울특별시 강서구 공항대로 103,0,1
세븐일레븐,등촌영일점,서울특별시 강서구 등촌로51가길 27,0,0
미니스톱,한강강서1점,서울특별시 강서구 양천로27길 280-11,0,0
CU,염창JK블라썸호텔점,서울특별시 강서구 양천로65길 41-22,0,0
CU,강서마곡점,서울특별시 강서구 양천로47나길 7,0,0
CU,마곡8단지점,서울특별시 강서구 마곡서1로 81,0,0
세븐일레븐,화곡우장산점,서울특별시 강서구 화곡로53길 58,0,0
세븐일레븐,등촌임광점,서울특별시 강서구 등촌로 113,0,0
CU,가양3단지점,서울특별시 강서구 허준로 139,0,1
GS25,뉴마곡12단지점,서울특별시 강서구 마곡중앙1로 26,1,0
CU,화곡더숨점,서울특별시 강서구 초록마을로34길 57,1,0
GS25,화곡화원점,서울특별시 강서구 월정로30길 102,0,1
GS25,등촌월드점,서울특별시 강서구 공항대로39길 74,0,1
