상호명,지점명,도로명주소,경도,위도
CU,메이필드호텔점,서울특별시 강서구 방화대로 94,126.8194957,37.54788118
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,126.8544261,37.55923589
CU,방화메아리점,서울특별시 강서구 금낭화로24길 29-4,126.814972,37.5784258
세븐일레븐,화곡현대점,서울특별시 강서구 초록마을로30길 7,126.8487882,37.53724988
세븐일레븐,마곡신사고점,서울특별시 강서구 강서로 463,126.840442,37.56692032
세븐일레븐,화곡본동점,서울특별시 강서구 초록마을로14길 37,126.8484719,37.54089599
미니스톱,강서IT점,서울특별시 강서구 공항대로44길 11,126.8508833,37.55556128
세븐일레븐,마곡홈앤쇼핑점,서울특별시 강서구 공항대로 140,126.8231776,37.55914479
GS25,마곡12단지점,서울특별시 강서구 공항대로 140,126.8231776,37.55914479
세븐일레븐,강서중앙점,서울특별시 강서구 공항대로46길 35,126.8524781,37.55415316
CU,강서스타점,서울특별시 강서구 강서로54길 90,126.843616,37.55857186
CU,화곡삼성점,서울특별시 강서구 국회대로7길 101,126.8552583,37.5292485
CU,화곡트윈캐슬점,서울특별시 강서구 초록마을로 71,126.8506657,37.54172829
CU,마곡한솔점,서울특별시 강서구 양천로30길 77,126.8230977,37.56926255
CU,가양휴먼빌점,서울특별시 강서구 양천로57길 13,126.8520051,37.56359139
GS25,마곡에이스점,서울특별시 강서구 마곡동로 61,126.8331376,37.5606042
CU,마곡더랜드점,서울특별시 강서구 마곡중앙로 161-8,126.8272734,37.56861933
CU,발산오피스점,서울특별시 강서구 마곡중앙8로 86,126.8369065,37.56061436
CU,마곡엠코점,서울특별시 강서구 강서로 471,126.8405586,37.56743505
GS25,강서메르디앙점,서울특별시 강서구 공항대로38길 106,126.8434156,37.55689398
미니스톱,강서하늘점,서울특별시 강서구 공항대로59다길 85,126.8679949,37.55187917
GS25,마곡플레이스점,서울특별시 강서구 강서로 395,126.8385751,37.56103625
GS25,염창빌리지점,서울특별시 강서구 양천로69길 19,126.8707444,37.55341924
CU,화곡드림점,서울특별시 강서구 초록마을로22길 82,126.8472067,37.53854996
CU,강서다온점,서울특별시 강서구 화곡로13길 111,126.8331902,37.54489072
CU,화곡미래점,서울특별시 강서구 초록마을로 122,126.8506142,37.53770917
CU,방화오피스점,서울특별시 강서구 개화동로27가길 33,126.8075362,37.56266403
CU,마곡바이셀프점,서울특별시 강서구 양천로47길 94,126.8371898,37.57442995
GS25,마곡힐스테이트점,서울특별시 강서구 공항대로 269-15,126.8372279,37.55959936
세븐일레븐,강서KC대학교점,서울특별시 강서구 까치산로24길 47,126.8535514,37.54836093
GS25,마곡유림점,서울특별시 강서구 강서로 419,126.8391903,37.56297051
GS25,화곡세화점,서울특별시 강서구 곰달래로25길 8,126.8491874,37.53115375
세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 하늘길 38,126.8029375,37.57135746
세븐일레븐,강서화곡다솜점,서울특별시 강서구 강서로7길 102,126.842034,37.5291466
CU,개화점,서울특별시 강서구 금낭화로 167,126.8133584,37.58094148
GS25,화곡드림점,서울특별시 강서구 우장산로16길 19,126.8494733,37.55231284
GS25,가양2호점,서울특별시 강서구 허준로 47,126.8465254,37.57101653
GS25,강서타운점,서울특별시 강서구 화곡로 346,126.8519974,37.55449989
CU,염창1호점,서울특별시 강서구 양천로 713,126.8752348,37.54983093
